g,season,opp,w/l,tm,opp_score,fg,fga,fg_percentage,three_points,three_point_attempts,three_point_percentage,ft,fta,free_throw_percentage,orb,trb,ast,stl,blk,tov,pf,drb,two_point_percentage,id
20,2020-21,SAC,L,111,116,39,86,0.453,11,33,0.333,22,29,0.759,11,45,28,9,3,13,21,34,0.528,217
19,2020-21,GSW,W,111,107,39,84,0.464,13,34,0.382,20,27,0.741,12,51,16,3,4,15,20,39,0.52,218
18,2020-21,LAL,L,95,96,40,82,0.488,6,21,0.286,9,14,0.643,9,42,24,10,6,15,16,33,0.557,219
17,2020-21,SAS,L,106,110,42,98,0.429,10,30,0.333,12,14,0.857,13,39,15,10,4,10,14,26,0.471,220
16,2020-21,CHI,W,119,103,44,87,0.506,15,29,0.517,16,20,0.8,6,44,28,9,6,12,18,38,0.5,221
15,2020-21,CLE,W,141,103,52,93,0.559,14,28,0.5,23,27,0.852,13,55,26,14,8,15,23,42,0.585,222
14,2020-21,PHI,L,110,122,41,90,0.456,12,30,0.4,16,20,0.8,10,32,23,10,5,11,21,22,0.483,223
13,2020-21,PHI,L,109,117,42,89,0.472,12,33,0.364,13,20,0.65,10,45,22,3,0,16,29,35,0.536,224
12,2020-21,NYK,L,75,105,25,84,0.298,7,46,0.152,18,29,0.621,14,43,15,10,2,17,22,29,0.474,225
11,2020-21,ORL,W,124,97,45,88,0.511,17,42,0.405,17,19,0.895,6,45,25,7,4,10,18,39,0.609,226
10,2020-21,WAS,W,116,107,41,86,0.477,12,32,0.375,22,30,0.733,11,49,21,11,4,21,22,38,0.537,227
9,2020-21,MIA,W,107,105,42,99,0.424,12,35,0.343,11,12,0.917,16,53,22,7,5,7,23,37,0.469,228
8,2020-21,TOR,W,126,114,41,84,0.488,15,29,0.517,29,34,0.853,12,56,19,3,9,19,29,44,0.473,229
7,2020-21,DET,W,122,120,49,87,0.563,15,33,0.455,9,13,0.692,12,41,35,4,5,17,22,29,0.63,230
6,2020-21,DET,L,93,96,39,83,0.47,8,31,0.258,7,14,0.5,7,44,20,12,11,19,20,37,0.596,231
5,2020-21,MEM,W,126,107,49,91,0.538,16,39,0.41,12,14,0.857,10,42,27,17,11,16,21,32,0.635,232
4,2020-21,IND,W,116,111,40,80,0.5,9,22,0.409,27,37,0.73,12,43,21,10,3,14,16,31,0.534,233
3,2020-21,IND,L,107,108,40,79,0.506,9,23,0.391,18,24,0.75,6,40,21,13,7,18,17,34,0.554,234
2,2020-21,BRK,L,95,123,37,98,0.378,8,27,0.296,13,19,0.684,20,47,23,6,5,15,27,27,0.408,235
1,2020-21,MIL,W,122,121,48,101,0.475,18,40,0.45,8,11,0.727,10,37,23,8,6,6,17,27,0.492,236
72,2019-20,WAS,L,90,96,35,88,0.398,8,35,0.229,12,14,0.857,13,51,22,8,7,18,19,38,0.509,237
71,2019-20,MEM,W,122,107,44,86,0.512,16,37,0.432,18,23,0.783,10,46,29,7,7,12,27,36,0.571,238
70,2019-20,ORL,W,122,119,45,102,0.441,12,40,0.3,20,24,0.833,13,54,32,9,7,12,19,41,0.532,239
69,2019-20,TOR,W,122,100,47,96,0.49,16,46,0.348,12,16,0.75,9,52,27,8,2,14,22,43,0.62,240
68,2019-20,BRK,W,149,115,50,88,0.568,20,39,0.513,29,35,0.829,6,43,29,10,10,14,23,37,0.612,241
67,2019-20,MIA,L,106,112,37,85,0.435,10,33,0.303,22,27,0.815,14,45,15,7,4,16,26,31,0.519,242
66,2019-20,POR,W,128,124,42,77,0.545,18,30,0.6,26,34,0.765,6,36,24,9,6,14,21,30,0.511,243
65,2019-20,MIL,L,112,119,37,91,0.407,11,37,0.297,27,34,0.794,14,48,18,8,5,15,28,34,0.481,244
64,2019-20,IND,W,114,111,41,93,0.441,13,37,0.351,19,22,0.864,11,46,19,9,4,8,15,35,0.5,245
63,2019-20,OKC,L,104,105,38,92,0.413,13,37,0.351,15,19,0.789,11,46,22,9,5,13,25,35,0.455,246
62,2019-20,UTA,L,94,99,35,94,0.372,10,36,0.278,14,18,0.778,13,45,19,6,6,12,13,32,0.431,247
61,2019-20,CLE,W,112,106,40,86,0.465,11,30,0.367,21,26,0.808,13,49,16,10,7,11,20,36,0.518,248
60,2019-20,BRK,L,120,129,44,103,0.427,15,49,0.306,17,23,0.739,13,42,24,10,6,15,30,29,0.537,249
59,2019-20,HOU,L,110,111,39,100,0.39,13,42,0.31,19,25,0.76,14,54,22,11,6,14,18,40,0.448,250
58,2019-20,UTA,W,114,103,45,84,0.536,11,26,0.423,13,16,0.813,9,44,21,7,4,8,17,35,0.586,251
57,2019-20,POR,W,118,106,43,90,0.478,19,39,0.487,13,14,0.929,8,45,19,6,3,14,19,37,0.471,252
56,2019-20,LAL,L,112,114,38,83,0.458,13,34,0.382,23,30,0.767,8,44,20,7,3,17,29,36,0.51,253
55,2019-20,MIN,W,127,117,44,95,0.463,10,29,0.345,29,37,0.784,16,58,21,5,6,10,26,42,0.515,254
54,2019-20,LAC,W,141,133,45,103,0.437,18,43,0.419,33,40,0.825,7,51,22,9,6,14,28,44,0.45,255
53,2019-20,HOU,L,105,116,37,85,0.435,11,32,0.344,20,25,0.8,10,48,24,11,4,18,26,38,0.491,256
52,2019-20,OKC,W,112,111,38,84,0.452,16,36,0.444,20,27,0.741,14,53,19,6,2,9,24,39,0.458,257
51,2019-20,ATL,W,112,107,37,86,0.43,16,37,0.432,22,27,0.815,11,47,23,5,8,13,18,36,0.429,258
50,2019-20,ORL,W,116,100,46,86,0.535,13,23,0.565,11,16,0.688,6,41,23,10,6,12,19,35,0.524,259
49,2019-20,ATL,W,123,115,48,90,0.533,12,29,0.414,15,17,0.882,11,44,21,10,5,15,22,33,0.59,260
48,2019-20,PHI,W,116,95,38,80,0.475,8,30,0.267,32,41,0.78,9,42,15,9,2,10,20,33,0.6,261
47,2019-20,GSW,W,119,104,42,88,0.477,15,35,0.429,20,22,0.909,14,51,27,12,4,22,24,37,0.509,262
46,2019-20,MIA,W,109,101,39,83,0.47,13,36,0.361,18,24,0.75,11,48,24,5,8,14,22,37,0.553,263
45,2019-20,NOP,L,108,123,41,89,0.461,8,33,0.242,18,22,0.818,7,37,21,6,5,16,29,30,0.589,264
44,2019-20,ORL,W,109,98,40,86,0.465,14,35,0.4,15,18,0.833,9,44,27,10,7,13,20,35,0.51,265
43,2019-20,MEM,W,119,95,45,89,0.506,14,32,0.438,15,20,0.75,9,44,32,11,9,9,14,35,0.544,266
42,2019-20,LAL,W,139,107,52,93,0.559,16,34,0.471,19,29,0.655,14,48,31,10,5,12,26,34,0.61,267
41,2019-20,PHO,L,119,123,42,96,0.438,15,42,0.357,20,22,0.909,4,39,26,11,6,11,24,35,0.5,268
40,2019-20,MIL,L,123,128,43,98,0.439,15,49,0.306,22,27,0.815,10,43,16,4,7,7,25,33,0.571,269
39,2019-20,DET,L,103,116,41,83,0.494,9,28,0.321,12,20,0.6,13,44,21,7,2,15,17,31,0.582,270
38,2019-20,CHI,W,113,101,39,83,0.47,9,23,0.391,26,29,0.897,10,43,28,7,6,12,19,33,0.5,271
37,2019-20,NOP,W,140,105,55,100,0.55,14,29,0.483,16,18,0.889,10,53,29,14,3,10,23,43,0.577,272
36,2019-20,PHI,L,98,109,38,88,0.432,14,36,0.389,8,8,1.0,8,38,17,8,1,14,16,30,0.462,273
35,2019-20,SAS,L,114,129,37,89,0.416,13,38,0.342,27,30,0.9,8,39,26,7,2,15,20,31,0.471,274
34,2019-20,WAS,L,94,99,33,95,0.347,8,37,0.216,20,26,0.769,16,55,17,7,8,16,20,39,0.431,275
33,2019-20,CHI,W,111,104,43,82,0.524,8,19,0.421,17,21,0.81,13,44,22,10,5,19,22,31,0.556,276
32,2019-20,ATL,W,109,106,41,93,0.441,6,25,0.24,21,29,0.724,12,54,23,9,7,12,16,42,0.515,277
31,2019-20,CHO,W,109,92,44,97,0.454,14,38,0.368,7,10,0.7,15,54,25,12,9,10,16,39,0.508,278
30,2019-20,TOR,L,97,113,31,78,0.397,7,32,0.219,28,36,0.778,7,31,18,11,4,14,17,24,0.522,279
29,2019-20,CLE,W,129,117,49,95,0.516,14,40,0.35,17,19,0.895,12,43,28,4,10,11,23,31,0.636,280
28,2019-20,TOR,W,118,102,46,92,0.5,14,33,0.424,12,14,0.857,13,45,26,7,3,19,22,32,0.542,281
27,2019-20,CHO,W,119,93,46,88,0.523,14,32,0.438,13,16,0.813,10,57,25,2,9,11,24,47,0.571,282
26,2019-20,DET,W,114,93,45,86,0.523,9,27,0.333,15,21,0.714,13,51,24,13,9,20,19,38,0.61,283
25,2019-20,DAL,W,109,103,35,86,0.407,12,38,0.316,27,30,0.9,14,54,13,3,4,15,21,40,0.479,284
24,2019-20,PHI,L,109,115,42,91,0.462,11,31,0.355,14,17,0.824,9,33,24,4,7,6,25,24,0.517,285
23,2019-20,IND,L,117,122,43,87,0.494,14,36,0.389,17,22,0.773,8,44,25,6,4,15,27,36,0.569,286
22,2019-20,CLE,W,110,88,45,78,0.577,15,27,0.556,5,8,0.625,5,39,22,8,9,18,19,34,0.588,287
21,2019-20,DEN,W,108,95,44,82,0.537,13,35,0.371,7,8,0.875,4,37,21,5,5,15,23,33,0.66,288
20,2019-20,MIA,W,112,93,35,79,0.443,16,41,0.39,26,32,0.813,10,46,21,8,8,10,20,36,0.5,289
19,2019-20,NYK,W,113,104,41,93,0.441,15,41,0.366,16,22,0.727,16,44,25,5,7,13,28,28,0.5,290
18,2019-20,BRK,L,107,112,41,93,0.441,9,28,0.321,16,21,0.762,16,48,16,11,7,19,14,32,0.492,291
17,2019-20,BRK,W,121,110,43,97,0.443,13,34,0.382,22,24,0.917,19,55,23,10,5,14,17,36,0.476,292
16,2019-20,SAC,W,103,102,38,85,0.447,7,30,0.233,20,23,0.87,11,38,20,10,4,11,16,27,0.564,293
15,2019-20,DEN,L,92,96,33,81,0.407,7,27,0.259,19,23,0.826,5,40,21,12,6,11,19,35,0.481,294
14,2019-20,LAC,L,104,107,41,104,0.394,12,45,0.267,10,14,0.714,18,53,26,11,2,17,22,35,0.492,295
13,2019-20,PHO,W,99,85,37,89,0.416,12,41,0.293,13,17,0.765,11,52,22,12,5,17,21,41,0.521,296
12,2019-20,SAC,L,99,100,34,82,0.415,10,30,0.333,21,24,0.875,10,46,26,7,3,14,14,36,0.462,297
11,2019-20,GSW,W,105,100,37,91,0.407,13,33,0.394,18,23,0.783,11,47,24,13,5,14,24,36,0.414,298
10,2019-20,WAS,W,140,133,49,96,0.51,16,36,0.444,26,29,0.897,10,44,32,5,5,11,26,34,0.55,299
9,2019-20,DAL,W,116,106,41,86,0.477,15,35,0.429,19,25,0.76,10,46,25,4,5,9,27,36,0.51,300
8,2019-20,SAS,W,135,115,48,94,0.511,14,37,0.378,25,28,0.893,7,43,28,11,11,8,25,36,0.596,301
7,2019-20,CHO,W,108,87,40,93,0.43,10,33,0.303,18,23,0.783,11,52,29,13,5,12,19,41,0.5,302
6,2019-20,CLE,W,119,113,48,85,0.565,12,30,0.4,11,15,0.733,4,45,24,5,12,14,23,41,0.655,303
5,2019-20,NYK,W,104,102,33,74,0.446,11,34,0.324,27,29,0.931,3,44,21,7,4,14,16,41,0.55,304
4,2019-20,MIL,W,116,105,41,92,0.446,17,41,0.415,17,21,0.81,5,45,25,4,4,9,20,40,0.471,305
3,2019-20,NYK,W,118,95,42,93,0.452,15,41,0.366,19,29,0.655,13,46,24,14,9,12,26,33,0.519,306
2,2019-20,TOR,W,112,106,42,109,0.385,13,38,0.342,15,16,0.938,21,56,21,10,8,9,20,35,0.408,307
1,2019-20,PHI,L,93,107,33,90,0.367,7,26,0.269,20,34,0.588,10,41,18,4,2,10,29,31,0.406,308
82,2018-19,WAS,W,116,110,45,99,0.455,15,44,0.341,11,23,0.478,13,50,27,10,3,5,17,37,0.545,309
81,2018-19,ORL,L,108,116,42,89,0.472,12,31,0.387,12,14,0.857,6,39,28,9,4,13,19,33,0.517,310
80,2018-19,IND,W,117,97,48,92,0.522,7,27,0.259,14,16,0.875,7,49,27,7,6,11,15,42,0.631,311
79,2018-19,MIA,W,112,102,38,80,0.475,9,24,0.375,27,31,0.871,6,42,25,8,7,11,21,36,0.518,312
78,2018-19,MIA,W,110,105,36,91,0.396,17,40,0.425,21,24,0.875,14,49,25,8,2,12,18,35,0.373,313
77,2018-19,BRK,L,96,110,35,83,0.422,8,20,0.4,18,23,0.783,7,39,19,8,7,15,25,32,0.429,314
76,2018-19,IND,W,114,112,44,86,0.512,13,27,0.481,13,17,0.765,7,43,27,8,5,14,19,36,0.525,315
75,2018-19,CLE,W,116,106,46,91,0.505,10,25,0.4,14,19,0.737,11,46,23,8,3,10,21,35,0.545,316
74,2018-19,SAS,L,96,115,38,94,0.404,7,35,0.2,13,16,0.813,11,45,23,4,2,8,14,34,0.525,317
73,2018-19,CHO,L,117,124,44,93,0.473,19,43,0.442,10,15,0.667,7,42,31,6,8,10,23,35,0.5,318
72,2018-19,PHI,L,115,118,45,96,0.469,12,32,0.375,13,16,0.813,10,46,22,1,3,8,25,36,0.516,319
71,2018-19,DEN,L,105,114,39,93,0.419,12,39,0.308,15,19,0.789,12,37,24,12,5,12,16,25,0.5,320
70,2018-19,ATL,W,129,120,44,93,0.473,13,36,0.361,28,37,0.757,11,46,30,10,7,14,21,35,0.544,321
69,2018-19,SAC,W,126,120,49,97,0.505,9,28,0.321,19,26,0.731,10,52,32,7,2,13,20,42,0.58,322
68,2018-19,LAC,L,115,140,44,91,0.484,14,36,0.389,13,19,0.684,7,29,26,11,4,13,24,22,0.545,323
67,2018-19,LAL,W,120,107,48,93,0.516,14,38,0.368,10,14,0.714,6,43,32,6,5,13,17,37,0.618,324
66,2018-19,SAC,W,111,109,40,79,0.506,13,33,0.394,18,21,0.857,3,35,26,11,1,17,22,32,0.587,325
65,2018-19,GSW,W,128,95,49,96,0.51,14,34,0.412,16,17,0.941,9,46,38,12,5,11,24,37,0.565,326
64,2018-19,HOU,L,104,115,37,77,0.481,8,28,0.286,22,29,0.759,8,44,23,7,0,13,23,36,0.592,327
63,2018-19,WAS,W,107,96,42,94,0.447,10,35,0.286,13,17,0.765,11,46,26,12,3,12,18,35,0.542,328
62,2018-19,POR,L,92,97,40,86,0.465,5,28,0.179,7,10,0.7,8,41,20,5,4,16,20,33,0.603,329
61,2018-19,TOR,L,95,118,33,86,0.384,6,30,0.2,23,28,0.821,10,47,24,6,4,14,20,37,0.482,330
60,2018-19,CHI,L,116,126,45,92,0.489,10,29,0.345,16,21,0.762,6,32,26,6,7,7,18,26,0.556,331
59,2018-19,MIL,L,97,98,39,102,0.382,14,40,0.35,5,6,0.833,12,50,19,11,9,7,15,38,0.403,332
58,2018-19,DET,W,118,110,45,88,0.511,16,39,0.41,12,15,0.8,10,47,32,8,2,16,22,37,0.592,333
57,2018-19,PHI,W,112,109,41,88,0.466,13,29,0.448,17,21,0.81,8,41,24,9,3,5,23,33,0.475,334
56,2018-19,LAC,L,112,123,39,92,0.424,9,26,0.346,25,31,0.806,8,45,21,9,3,12,29,37,0.455,335
55,2018-19,LAL,L,128,129,46,94,0.489,16,38,0.421,20,20,1.0,11,48,35,7,5,8,16,37,0.536,336
54,2018-19,CLE,W,103,96,40,82,0.488,9,26,0.346,14,14,1.0,8,42,29,10,10,13,14,34,0.554,337
53,2018-19,OKC,W,134,129,54,91,0.593,13,34,0.382,13,17,0.765,5,38,36,8,6,14,22,33,0.719,338
52,2018-19,NYK,W,113,99,46,100,0.46,13,37,0.351,8,10,0.8,11,43,25,11,7,7,18,32,0.524,339
51,2018-19,CHO,W,126,94,50,90,0.556,12,29,0.414,14,16,0.875,12,53,34,10,7,10,14,41,0.623,340
50,2018-19,BRK,W,112,104,45,100,0.45,13,40,0.325,9,10,0.9,16,52,29,11,16,17,16,36,0.533,341
49,2018-19,GSW,L,111,115,41,99,0.414,15,40,0.375,14,15,0.933,15,49,23,6,4,14,22,34,0.441,342
48,2018-19,CLE,W,123,103,45,86,0.523,12,25,0.48,21,23,0.913,9,43,25,12,5,14,20,34,0.541,343
47,2018-19,MIA,W,107,99,43,87,0.494,12,30,0.4,9,10,0.9,8,36,26,13,7,19,21,28,0.544,344
46,2018-19,ATL,W,113,105,39,88,0.443,12,32,0.375,23,25,0.92,11,43,19,10,8,15,18,32,0.482,345
45,2018-19,MEM,W,122,116,44,86,0.512,17,38,0.447,17,22,0.773,10,52,29,5,9,17,20,42,0.562,346
44,2018-19,TOR,W,117,108,46,92,0.5,14,30,0.467,11,13,0.846,14,49,32,7,6,14,24,35,0.516,347
43,2018-19,BRK,L,102,109,37,91,0.407,11,36,0.306,17,23,0.739,10,41,21,10,8,10,21,31,0.473,348
42,2018-19,ORL,L,103,105,38,90,0.422,8,32,0.25,19,28,0.679,10,46,19,7,3,8,18,36,0.517,349
41,2018-19,MIA,L,99,115,36,89,0.404,12,34,0.353,15,17,0.882,9,37,20,5,8,10,10,28,0.436,350
40,2018-19,IND,W,135,108,50,88,0.568,14,32,0.438,21,24,0.875,9,48,32,7,7,13,25,39,0.643,351
39,2018-19,BRK,W,116,95,47,93,0.505,12,32,0.375,10,12,0.833,6,43,37,13,2,13,21,37,0.574,352
38,2018-19,DAL,W,114,93,42,96,0.438,21,45,0.467,9,11,0.818,14,53,35,12,4,12,16,39,0.412,353
37,2018-19,MIN,W,115,102,45,76,0.592,12,30,0.4,13,15,0.867,3,33,34,10,9,16,21,30,0.717,354
36,2018-19,SAS,L,111,120,43,88,0.489,11,34,0.324,14,20,0.7,9,40,30,5,8,12,17,31,0.593,355
35,2018-19,MEM,W,112,103,40,80,0.5,16,36,0.444,16,18,0.889,7,36,29,10,4,17,24,29,0.545,356
34,2018-19,HOU,L,113,127,38,81,0.469,12,31,0.387,25,31,0.806,6,37,28,9,3,11,22,31,0.52,357
33,2018-19,PHI,W,121,114,45,108,0.417,14,41,0.341,17,20,0.85,13,55,21,8,4,9,21,42,0.463,358
32,2018-19,CHO,W,119,103,43,86,0.5,13,39,0.333,20,25,0.8,11,47,30,8,4,14,22,36,0.638,359
31,2018-19,MIL,L,107,120,35,91,0.385,10,34,0.294,27,36,0.75,9,36,22,13,3,5,16,27,0.439,360
30,2018-19,PHO,L,103,111,38,85,0.447,15,39,0.385,12,14,0.857,9,37,26,13,15,16,17,28,0.5,361
29,2018-19,DET,L,104,113,39,94,0.415,9,33,0.273,17,23,0.739,12,44,19,11,4,14,25,32,0.492,362
28,2018-19,ATL,W,129,108,46,95,0.484,19,39,0.487,18,20,0.9,13,47,28,15,9,21,21,34,0.482,363
27,2018-19,WAS,W,130,125,47,104,0.452,11,38,0.289,25,25,1.0,14,50,20,6,2,13,19,36,0.545,364
26,2018-19,NOP,W,113,100,44,90,0.489,12,39,0.308,13,19,0.684,14,51,23,8,5,13,21,37,0.627,365
25,2018-19,CHI,W,133,77,50,93,0.538,22,43,0.512,11,15,0.733,13,54,34,10,4,7,14,41,0.56,366
24,2018-19,NYK,W,128,100,49,92,0.533,13,38,0.342,17,20,0.85,7,46,32,8,6,9,24,39,0.667,367
23,2018-19,MIN,W,118,109,40,85,0.471,17,44,0.386,21,21,1.0,7,40,30,9,3,14,25,33,0.561,368
22,2018-19,CLE,W,128,95,49,92,0.533,17,31,0.548,13,16,0.813,12,47,30,4,4,10,27,35,0.525,369
21,2018-19,NOP,W,124,107,48,97,0.495,19,39,0.487,9,10,0.9,14,42,27,14,4,13,25,28,0.5,370
20,2018-19,DAL,L,104,113,41,86,0.477,10,28,0.357,12,13,0.923,9,42,19,8,3,17,21,33,0.534,371
19,2018-19,ATL,W,114,96,42,91,0.462,13,40,0.325,17,21,0.81,7,43,31,11,7,16,29,36,0.569,372
18,2018-19,NYK,L,109,117,38,97,0.392,10,33,0.303,23,32,0.719,15,50,30,10,9,8,16,35,0.438,373
17,2018-19,CHO,L,112,117,45,89,0.506,9,32,0.281,13,18,0.722,8,41,31,9,6,12,22,33,0.632,374
16,2018-19,UTA,L,86,98,35,91,0.385,5,33,0.152,11,20,0.55,17,51,16,11,4,14,22,34,0.517,375
15,2018-19,TOR,W,123,116,47,89,0.528,9,26,0.346,20,24,0.833,9,46,25,9,6,18,23,37,0.603,376
14,2018-19,CHI,W,111,82,42,90,0.467,15,34,0.441,12,14,0.857,8,51,27,12,5,13,12,43,0.482,377
13,2018-19,POR,L,94,100,36,93,0.387,14,42,0.333,8,10,0.8,11,42,19,11,5,12,16,31,0.431,378
12,2018-19,UTA,L,115,123,39,88,0.443,17,43,0.395,20,22,0.909,5,28,31,11,3,8,20,23,0.489,379
11,2018-19,PHO,W,116,109,39,97,0.402,14,37,0.378,24,31,0.774,17,56,21,6,6,16,18,39,0.417,380
10,2018-19,DEN,L,107,115,44,87,0.506,9,31,0.29,10,12,0.833,7,40,22,9,9,12,21,33,0.625,381
9,2018-19,IND,L,101,102,38,88,0.432,19,46,0.413,6,9,0.667,10,45,23,6,8,14,20,35,0.452,382
8,2018-19,MIL,W,117,113,41,92,0.446,24,55,0.436,11,13,0.846,8,42,30,5,8,12,23,34,0.459,383
7,2018-19,DET,W,108,105,37,84,0.44,9,31,0.29,25,32,0.781,8,46,25,8,4,14,20,38,0.528,384
6,2018-19,DET,W,109,89,39,86,0.453,14,34,0.412,17,25,0.68,8,54,25,4,8,13,26,46,0.481,385
5,2018-19,OKC,W,101,95,33,86,0.384,11,32,0.344,24,33,0.727,10,45,19,7,1,11,27,35,0.407,386
4,2018-19,ORL,L,90,93,37,91,0.407,9,40,0.225,7,9,0.778,9,51,21,6,3,12,15,42,0.549,387
3,2018-19,NYK,W,103,101,33,82,0.402,9,25,0.36,28,33,0.848,11,47,21,8,2,15,26,36,0.421,388
2,2018-19,TOR,L,101,113,40,99,0.404,14,36,0.389,7,10,0.7,16,49,29,4,6,14,27,33,0.413,389
1,2018-19,PHI,W,105,87,42,97,0.433,11,37,0.297,10,14,0.714,12,55,21,7,5,14,20,43,0.517,390
82,2017-18,BRK,W,110,97,46,102,0.451,6,24,0.25,12,15,0.8,20,62,22,6,6,13,14,42,0.513,391
81,2017-18,WAS,L,101,113,33,87,0.379,13,33,0.394,22,27,0.815,13,44,22,14,1,16,18,31,0.37,392
80,2017-18,ATL,L,106,112,42,82,0.512,9,23,0.391,13,20,0.65,10,41,33,9,6,12,18,31,0.559,393
79,2017-18,CHI,W,111,104,45,81,0.556,14,34,0.412,7,17,0.412,6,46,35,9,6,18,15,40,0.66,394
78,2017-18,TOR,L,78,96,25,75,0.333,3,22,0.136,25,28,0.893,8,43,10,7,3,16,16,35,0.415,395
77,2017-18,MIL,L,102,106,38,81,0.469,7,23,0.304,19,24,0.792,10,37,19,10,6,17,17,27,0.534,396
76,2017-18,TOR,W,110,99,40,88,0.455,7,17,0.412,23,27,0.852,8,41,19,6,3,5,23,33,0.465,397
75,2017-18,UTA,W,97,94,35,79,0.443,12,21,0.571,15,20,0.75,11,42,20,11,2,16,18,31,0.397,398
74,2017-18,PHO,W,102,94,37,87,0.425,14,29,0.483,14,14,1.0,10,44,24,10,3,12,19,34,0.397,399
73,2017-18,SAC,W,104,93,40,72,0.556,12,22,0.545,12,17,0.706,3,35,23,9,2,15,11,32,0.56,400
72,2017-18,POR,W,105,100,35,77,0.455,11,18,0.611,24,26,0.923,9,45,22,5,4,13,18,36,0.407,401
71,2017-18,OKC,W,100,99,36,87,0.414,13,36,0.361,15,16,0.938,11,52,22,6,5,17,24,41,0.451,402
70,2017-18,NOP,L,89,108,35,87,0.402,9,26,0.346,10,20,0.5,9,44,17,8,3,12,21,35,0.426,403
69,2017-18,ORL,W,92,83,31,82,0.378,9,26,0.346,21,28,0.75,16,55,16,7,6,18,17,39,0.393,404
68,2017-18,WAS,L,124,125,48,99,0.485,12,26,0.462,16,23,0.696,10,44,30,9,5,17,22,34,0.493,405
67,2017-18,IND,L,97,99,34,81,0.42,12,37,0.324,17,21,0.81,10,42,26,10,5,16,13,32,0.5,406
66,2017-18,MIN,W,117,109,43,87,0.494,11,32,0.344,20,27,0.741,9,46,28,7,2,11,17,37,0.582,407
65,2017-18,CHI,W,105,89,41,84,0.488,12,36,0.333,11,12,0.917,12,53,25,7,4,18,13,41,0.604,408
64,2017-18,HOU,L,120,123,44,91,0.484,13,24,0.542,19,21,0.905,10,38,22,6,3,13,21,28,0.463,409
63,2017-18,CHO,W,134,106,54,87,0.621,12,20,0.6,14,15,0.933,4,47,31,3,4,10,20,43,0.627,410
62,2017-18,MEM,W,109,98,39,86,0.453,12,37,0.324,19,27,0.704,9,44,25,5,5,8,23,35,0.551,411
61,2017-18,NYK,W,121,112,42,93,0.452,13,33,0.394,24,28,0.857,11,45,21,11,5,11,15,34,0.483,412
60,2017-18,DET,W,110,98,41,85,0.482,17,39,0.436,11,18,0.611,10,42,30,8,5,11,22,32,0.522,413
59,2017-18,LAC,L,119,129,42,97,0.433,15,31,0.484,20,21,0.952,11,46,24,4,7,8,31,35,0.409,414
58,2017-18,CLE,L,99,121,36,89,0.404,10,38,0.263,17,22,0.773,13,43,22,3,4,14,14,30,0.51,415
57,2017-18,IND,L,91,97,34,89,0.382,7,27,0.259,16,20,0.8,12,38,16,5,8,10,21,26,0.435,416
56,2017-18,WAS,W,110,104,39,84,0.464,9,26,0.346,23,34,0.676,7,45,16,9,6,18,20,38,0.517,417
55,2017-18,TOR,L,91,111,33,83,0.398,10,23,0.435,15,20,0.75,9,38,21,3,3,17,19,29,0.383,418
54,2017-18,POR,W,97,96,35,85,0.412,15,36,0.417,12,17,0.706,9,51,24,3,6,11,16,42,0.408,419
53,2017-18,ATL,W,119,110,45,89,0.506,11,24,0.458,18,20,0.9,7,42,26,8,3,11,23,35,0.523,420
52,2017-18,NYK,W,103,73,40,83,0.482,11,26,0.423,12,20,0.6,5,49,27,8,3,9,22,44,0.509,421
51,2017-18,DEN,W,111,110,43,91,0.473,17,36,0.472,8,10,0.8,10,40,28,4,6,9,19,30,0.473,422
50,2017-18,GSW,L,105,109,37,85,0.435,14,28,0.5,17,24,0.708,11,45,17,6,2,14,23,34,0.404,423
49,2017-18,LAC,W,113,102,39,93,0.419,14,40,0.35,21,22,0.955,10,47,25,10,3,13,28,37,0.472,424
48,2017-18,LAL,L,107,108,42,90,0.467,15,44,0.341,8,10,0.8,7,42,22,3,5,11,25,35,0.587,425
47,2017-18,ORL,L,95,103,37,85,0.435,8,27,0.296,13,14,0.929,11,44,22,6,9,15,18,33,0.5,426
46,2017-18,PHI,L,80,89,30,74,0.405,7,29,0.241,13,17,0.765,3,31,13,7,5,19,20,28,0.511,427
45,2017-18,NOP,L,113,116,40,101,0.396,19,50,0.38,14,16,0.875,12,53,27,7,3,18,24,41,0.412,428
44,2017-18,PHI,W,114,103,43,89,0.483,13,35,0.371,15,19,0.789,11,46,24,11,2,18,18,35,0.556,429
43,2017-18,BRK,W,87,85,37,98,0.378,5,18,0.278,8,15,0.533,12,44,12,8,13,4,17,32,0.4,430
42,2017-18,MIN,W,91,84,38,94,0.404,6,36,0.167,9,13,0.692,17,56,24,6,4,10,22,39,0.552,431
41,2017-18,CLE,W,102,88,41,92,0.446,12,36,0.333,8,11,0.727,9,52,27,9,2,15,20,43,0.518,432
40,2017-18,BRK,W,108,105,39,79,0.494,14,33,0.424,16,25,0.64,8,50,21,7,8,17,22,42,0.543,433
39,2017-18,HOU,W,99,98,37,82,0.451,8,29,0.276,17,24,0.708,10,44,18,9,8,16,22,34,0.547,434
38,2017-18,CHO,W,102,91,37,78,0.474,15,34,0.441,13,13,1.0,6,43,20,4,7,15,20,37,0.5,435
37,2017-18,WAS,L,103,111,39,81,0.481,14,29,0.483,11,17,0.647,8,45,20,2,4,16,23,37,0.481,436
36,2017-18,CHI,W,117,92,44,92,0.478,12,32,0.375,17,21,0.81,8,46,29,9,5,5,18,38,0.533,437
