g,season,opp,w/l,tm,opp_score,fg,fga,fg_percentage,three_points,three_point_attempts,three_point_percentage,ft,fta,free_throw_percentage,orb,trb,ast,stl,blk,tov,pf,drb,two_point_percentage,id
33,2022-23,MIN,W,121,109,44,100,0.44,13,46,0.283,20,26,0.769,20,53,28,9,6,11,16,33,0.574,50
32,2022-23,IND,L,112,117,39,101,0.386,13,41,0.317,21,25,0.84,25,62,26,11,5,16,9,37,0.433,51
31,2022-23,ORL,L,92,95,31,89,0.348,12,47,0.255,18,21,0.857,11,54,22,7,7,16,17,43,0.452,52
30,2022-23,ORL,L,109,117,35,84,0.417,11,46,0.239,28,34,0.824,10,38,17,9,12,14,21,28,0.632,53
29,2022-23,LAL,W,122,118,46,104,0.442,19,48,0.396,11,16,0.688,13,51,27,6,2,14,22,38,0.482,54
28,2022-23,LAC,L,93,113,33,76,0.434,9,39,0.231,18,26,0.692,5,36,27,5,6,15,17,31,0.649,55
27,2022-23,GSW,L,107,123,38,87,0.437,12,40,0.3,19,26,0.731,6,39,17,8,6,10,14,33,0.553,56
26,2022-23,PHO,W,125,98,49,101,0.485,16,45,0.356,11,13,0.846,11,53,29,14,3,12,20,42,0.589,57
25,2022-23,TOR,W,116,110,44,90,0.489,13,36,0.361,15,21,0.714,13,49,27,6,3,11,22,36,0.574,58
24,2022-23,BRK,W,103,92,35,81,0.432,15,38,0.395,18,20,0.9,8,48,18,11,9,15,19,40,0.465,59
23,2022-23,MIA,L,116,120,40,87,0.46,15,45,0.333,21,28,0.75,7,48,26,6,2,20,18,41,0.595,60
22,2022-23,MIA,W,134,121,46,83,0.554,22,45,0.489,20,23,0.87,11,41,32,7,0,17,18,30,0.632,61
21,2022-23,CHO,W,140,105,55,93,0.591,24,52,0.462,6,7,0.857,9,39,40,10,5,13,18,30,0.756,62
20,2022-23,WAS,W,130,121,44,80,0.55,16,34,0.471,26,26,1.0,10,38,25,2,5,14,23,28,0.609,63
19,2022-23,SAC,W,122,104,41,83,0.494,16,37,0.432,24,27,0.889,4,38,27,9,6,10,24,34,0.543,64
18,2022-23,DAL,W,125,112,45,84,0.536,17,34,0.5,18,21,0.857,6,38,29,4,4,11,22,32,0.56,65
17,2022-23,CHI,L,107,121,38,87,0.437,19,50,0.38,12,17,0.706,5,38,28,3,4,15,18,33,0.514,66
16,2022-23,NOP,W,117,109,41,85,0.482,20,46,0.435,15,17,0.882,11,46,28,6,3,17,13,35,0.538,67
15,2022-23,ATL,W,126,101,48,88,0.545,21,46,0.457,9,10,0.9,6,49,29,4,8,14,20,43,0.643,68
14,2022-23,OKC,W,126,122,46,96,0.479,10,37,0.27,24,29,0.828,10,46,25,15,7,14,20,36,0.61,69
13,2022-23,DET,W,117,108,39,91,0.429,18,48,0.375,21,24,0.875,9,42,27,6,4,7,17,33,0.488,70
12,2022-23,DEN,W,131,112,50,90,0.556,16,37,0.432,15,20,0.75,10,46,30,3,5,7,19,36,0.642,71
11,2022-23,DET,W,128,112,47,88,0.534,18,46,0.391,16,21,0.762,8,43,31,5,4,12,25,35,0.69,72
10,2022-23,MEM,W,109,106,38,82,0.463,12,37,0.324,21,28,0.75,7,45,26,5,6,15,19,38,0.578,73
9,2022-23,NYK,W,133,118,47,88,0.534,27,51,0.529,12,12,1.0,8,34,30,5,2,12,17,26,0.541,74
8,2022-23,CHI,W,123,119,41,83,0.494,9,31,0.29,32,39,0.821,7,39,24,5,7,13,23,32,0.615,75
7,2022-23,CLE,L,113,114,38,93,0.409,11,41,0.268,26,27,0.963,8,52,26,5,9,14,24,44,0.519,76
6,2022-23,WAS,W,112,94,36,79,0.456,21,47,0.447,19,20,0.95,4,47,29,4,5,13,15,43,0.469,77
5,2022-23,CLE,L,123,132,42,82,0.512,13,33,0.394,26,32,0.813,5,34,28,9,2,19,27,29,0.592,78
4,2022-23,CHI,L,102,120,37,100,0.37,18,48,0.375,10,12,0.833,14,45,26,5,7,10,24,31,0.365,79
3,2022-23,ORL,W,126,120,42,87,0.483,19,47,0.404,23,28,0.821,7,37,24,5,6,8,21,30,0.575,80
2,2022-23,MIA,W,111,104,41,79,0.519,14,33,0.424,15,15,1.0,12,43,17,4,11,19,23,31,0.587,81
1,2022-23,PHI,W,126,117,46,82,0.561,12,35,0.343,22,28,0.786,6,36,24,8,3,10,24,30,0.723,82
82,2021-22,MEM,W,139,110,54,99,0.545,18,48,0.375,13,13,1.0,14,56,34,5,2,15,20,42,0.706,83
81,2021-22,MIL,L,121,127,43,87,0.494,21,50,0.42,14,19,0.737,8,44,30,8,4,16,15,36,0.595,84
80,2021-22,CHI,W,117,94,43,88,0.489,17,37,0.459,14,22,0.636,8,42,29,11,6,11,18,34,0.51,85
79,2021-22,WAS,W,144,102,56,91,0.615,23,44,0.523,9,13,0.692,7,39,39,6,5,7,20,32,0.702,86
78,2021-22,IND,W,128,123,45,83,0.542,12,33,0.364,26,28,0.929,11,40,29,7,4,15,19,29,0.66,87
77,2021-22,MIA,L,98,106,35,85,0.412,11,37,0.297,17,23,0.739,8,44,27,9,1,17,22,36,0.5,88
76,2021-22,TOR,L,112,115,39,95,0.411,12,40,0.3,22,28,0.786,16,57,23,5,7,16,15,41,0.491,89
75,2021-22,MIN,W,134,112,49,87,0.563,17,39,0.436,19,21,0.905,10,45,27,7,5,13,20,35,0.667,90
74,2021-22,UTA,W,125,97,50,84,0.595,19,36,0.528,6,7,0.857,8,39,37,8,10,12,20,31,0.646,91
73,2021-22,OKC,W,132,123,44,86,0.512,15,40,0.375,29,34,0.853,6,42,22,8,7,8,18,36,0.63,92
